iter	F1	Logloss
0	0.7739890025	0.6898846193
1	0.7838786207	0.6867914074
2	0.7792194863	0.6838835275
3	0.7789335459	0.68105961
4	0.7820547375	0.67832263
5	0.7826651704	0.6757173533
6	0.7825751672	0.6732232127
7	0.7825827055	0.6707238175
8	0.7797648819	0.6682494344
9	0.7788195748	0.6660053857
10	0.7782186873	0.6637976148
11	0.7788197582	0.6616763994
12	0.7792452348	0.6596820939
13	0.7770315037	0.6577204117
14	0.7777355098	0.6558173345
15	0.7779255779	0.6540627225
16	0.7795178965	0.652346416
17	0.7785412308	0.6505860437
18	0.777657309	0.6491165242
19	0.7785900446	0.6475054702
20	0.7784966616	0.646015743
21	0.7790934304	0.6445568092
22	0.7784536909	0.6431958638
23	0.7785584358	0.6417741466
24	0.7784479223	0.6401996482
25	0.7790226091	0.63874354
26	0.7791895708	0.6373529221
27	0.7787290527	0.6360572345
28	0.7782249213	0.6348956385
29	0.7785533759	0.6338151141
30	0.7786546476	0.6326598447
31	0.77908374	0.6315492799
32	0.7790553902	0.6305150246
33	0.7787611381	0.6295060622
34	0.7785208887	0.6284740153
35	0.7785366694	0.627423462
36	0.7785920976	0.6264879734
37	0.7787054841	0.6256797447
38	0.778704739	0.6248706291
39	0.7785632231	0.624064322
40	0.7786426399	0.6232946141
41	0.7786553269	0.6224887228
42	0.7786083561	0.6216544822
43	0.7787530618	0.6209213419
44	0.7788446227	0.6202547498
45	0.7789160281	0.6195878354
46	0.7789049968	0.618888566
47	0.7788573984	0.6181980831
48	0.7788557471	0.6175182101
49	0.7788550045	0.6169690285
50	0.7789291585	0.6163839276
51	0.7788506617	0.6158647225
52	0.7789895929	0.6153372566
53	0.7790180589	0.6148467862
54	0.7795435218	0.6143284386
55	0.7790930927	0.6138561704
56	0.7791334736	0.6133956914
57	0.7790619564	0.6129643329
58	0.7794639363	0.6125100917
59	0.7795770803	0.6120476331
60	0.7796180315	0.6116448461
61	0.7795903454	0.6112358213
62	0.7795756242	0.6108080903
63	0.7796063801	0.6103518486
64	0.7800784253	0.609926739
65	0.7800979213	0.6094692676
66	0.7801301463	0.6091313345
67	0.7801601209	0.6088042471
68	0.7801207019	0.6084965695
69	0.7801751726	0.6081870161
70	0.7800873017	0.607856536
71	0.780223132	0.607573179
72	0.7803124651	0.6071934109
73	0.7801975434	0.6069301053
74	0.7801700617	0.6065399071
75	0.7801687836	0.6061603409
76	0.7805248785	0.6059348004
77	0.7805334581	0.6056068641
78	0.7805633887	0.6053659101
79	0.7805897935	0.6050951838
80	0.7805883085	0.6048382009
81	0.7805305402	0.6045953611
82	0.7806140626	0.604330522
83	0.7808073442	0.6040423565
84	0.7808370186	0.6037929808
85	0.7805667947	0.6035180789
86	0.7806133409	0.6033340627
87	0.7806385347	0.6031557118
88	0.7806431648	0.6029222794
89	0.7809104473	0.6026899921
90	0.7808920155	0.6024281723
91	0.7809011722	0.6022068187
92	0.780951398	0.6019618199
93	0.7809977595	0.6017565083
94	0.780946401	0.6015565111
95	0.7808858811	0.6013671931
96	0.7812631706	0.6011538042
97	0.7815916931	0.6009416442
98	0.7814026698	0.6007686899
99	0.7814413485	0.6006124689
100	0.7815353384	0.6003877057
101	0.7814966642	0.6002121479
102	0.7815714194	0.6000081472
103	0.7817313027	0.5997934893
104	0.7817016172	0.599663046
105	0.7817705803	0.5995013994
106	0.7818659376	0.599378076
107	0.781851008	0.5991820802
108	0.7818418688	0.5990666899
109	0.7818396886	0.5989365375
110	0.7817659943	0.5988222186
111	0.7818173212	0.5986478532
112	0.7818604991	0.5984501801
113	0.7818635679	0.5982505797
114	0.7819246675	0.5981067072
115	0.7820664546	0.5979815395
116	0.7821777919	0.5978396552
117	0.782163183	0.5976667018
118	0.7820989567	0.5974909783
119	0.7821162213	0.5972970994
120	0.7821952175	0.5971481696
121	0.7822199658	0.5970026217
122	0.7821850779	0.5968716352
123	0.7821669651	0.5967524494
124	0.7820773931	0.5966274353
125	0.7820755692	0.5965311375
126	0.7819815631	0.5964352038
127	0.782134307	0.596295616
128	0.7820348241	0.5962049653
129	0.782079341	0.5961145057
130	0.7822008201	0.5959649528
131	0.7822208816	0.5958649517
132	0.7822973311	0.5957183025
133	0.7823681728	0.5955423578
134	0.7824599797	0.5954528897
135	0.7825015722	0.5953709515
136	0.782350939	0.5952853598
137	0.7824562008	0.5951851133
138	0.7826349189	0.5950922281
139	0.7824768207	0.5949912603
140	0.7824869225	0.5948969809
141	0.7826424034	0.5947761323
142	0.7827113067	0.5947067427
143	0.7827060642	0.5946054073
144	0.7826607674	0.5944919119
145	0.7828173395	0.5943819353
146	0.7827192415	0.5942688133
147	0.7827420967	0.5941505168
148	0.7827230096	0.5940723266
149	0.7827267438	0.5939628343
150	0.7828339202	0.5938773482
151	0.7829646418	0.5937578803
152	0.7831352283	0.5936728572
153	0.7831432214	0.5935991455
154	0.783142185	0.593518473
155	0.7832566634	0.5934076399
156	0.7833620393	0.5933488497
157	0.7833646212	0.5932403855
158	0.7835285001	0.5931729059
159	0.7836844325	0.5930798838
160	0.7837227022	0.592987288
161	0.7837750582	0.592868894
162	0.7837996091	0.5927615625
163	0.7838037993	0.592695834
164	0.7838145111	0.5925934564
165	0.7837515346	0.592526302
166	0.7838836993	0.5924263239
167	0.7839793905	0.5923325533
168	0.7840126162	0.5922509947
169	0.7840874321	0.5921834716
170	0.7840473132	0.5920988996
171	0.784136715	0.5920335623
172	0.7841991146	0.5919265273
173	0.7842221178	0.5918532434
174	0.7842067146	0.5917872101
175	0.7842880298	0.5917116638
