iter	Passed	Remaining
0	125	188728
1	225	168743
2	321	160632
3	404	151442
4	508	152154
5	612	152400
6	718	153314
7	901	168160
8	1056	175050
9	1169	174237
10	1283	173763
11	1393	172737
12	1482	169585
13	1584	168154
14	1688	167199
15	1797	166730
16	1902	165949
17	1993	164166
18	2093	163188
19	2175	160951
20	2256	158906
21	2343	157473
22	2433	156279
23	2519	154975
24	2616	154390
25	2695	152801
26	2773	151329
27	2845	149593
28	2935	148892
29	3018	147899
30	3107	147231
31	3193	146492
32	3272	145492
33	3350	144450
34	3442	144074
35	3522	143237
36	3599	142312
37	3677	141499
38	3769	141201
39	3853	140641
40	3926	139712
41	4011	139253
42	4093	138689
43	4172	138087
44	4287	138625
45	4407	139303
46	4508	139380
47	4611	139497
48	4713	139566
49	4796	139105
50	4890	138943
51	4989	138933
52	5095	139124
53	5195	139128
54	5334	140147
55	5421	139797
56	5535	140135
57	5658	140671
58	5762	140730
59	5855	140537
60	5945	140259
61	6032	139911
62	6119	139587
63	6208	139303
64	6290	138878
65	6379	138604
66	6463	138234
67	6545	137842
68	6637	137646
69	6723	137350
70	6803	136937
71	6875	136368
72	6974	136343
73	7068	136219
74	7158	136016
75	7254	135924
76	7340	135664
77	7438	135603
78	7538	135590
79	7630	135446
80	7728	135387
81	7813	135115
82	7898	134839
83	7988	134666
84	8100	134848
85	8205	134920
86	8304	134883
87	8409	134931
88	8500	134768
89	8609	134889
90	8695	134629
91	8785	134461
92	8869	134182
93	8962	134056
94	9046	133799
95	9126	133479
96	9216	133307
97	9310	133202
98	9406	133112
99	9500	133010
100	9599	132974
101	9701	132964
102	9796	132876
103	9884	132686
104	9980	132596
105	10060	132305
106	10150	132150
107	10249	132107
108	10342	131982
109	10425	131735
110	10508	131492
111	10597	131336
112	10691	131234
113	10776	131019
114	10865	130858
115	10954	130697
116	11047	130589
117	11137	130445
118	11230	130332
119	11322	130208
120	11416	130112
121	11508	129990
122	11599	129853
123	11686	129685
124	11775	129528
125	11851	129238
126	11931	128990
127	12026	128913
128	12117	128778
129	12203	128602
130	12288	128423
131	12380	128303
132	12469	128168
133	12558	128017
134	12642	127827
135	12740	127778
136	12826	127608
137	12918	127503
138	13002	127316
139	13087	127137
140	13177	127005
141	13284	127049
142	13393	127102
143	13488	127014
144	13584	126942
145	13673	126808
146	13763	126676
147	13853	126555
148	13940	126399
149	14021	126195
150	14111	126066
151	14207	126000
152	14296	125864
153	14378	125673
154	14460	125476
155	14548	125338
156	14639	125228
157	14733	125142
158	14810	124910
159	14881	124632
160	14976	124556
161	15059	124379
162	15150	124273
163	15241	124164
164	15329	124029
165	15435	124040
166	15531	123973
167	15625	123887
168	15717	123783
169	15800	123618
170	15890	123502
171	15979	123380
172	16077	123321
173	16176	123278
174	16263	123135
175	16354	123030
176	16450	122962
177	16541	122852
178	16630	122734
179	16727	122666
180	16822	122592
181	16902	122403
182	16983	122226
183	17072	122107
184	17170	122046
185	17243	121817
186	17329	121680
187	17418	121556
188	17505	121426
189	17592	121295
190	17680	121174
191	17773	121081
192	17860	120952
193	17952	120858
194	18049	120792
195	18139	120683
196	18235	120611
197	18328	120526
198	18412	120373
199	18508	120303
200	18598	120198
201	18698	120153
202	18812	120195
203	18898	120063
204	18981	119910
205	19076	119830
206	19165	119716
207	19263	119654
208	19359	119582
209	19502	119799
210	19625	119893
211	19741	119941
212	19841	119888
213	19933	119788
214	20018	119646
215	20113	119563
216	20196	119411
217	20292	119335
218	20391	119277
219	20497	119259
220	20602	119233
221	20711	119230
222	20813	119186
223	20902	119071
224	21010	119058
225	21108	118993
226	21213	118962
227	21313	118909
228	21423	118905
229	21536	118920
230	21643	118900
231	21749	118873
232	21835	118736
233	21926	118626
234	22004	118449
235	22091	118319
236	22180	118202
237	22276	118119
238	22396	118164
239	22508	118171
240	22608	118105
241	22700	118007
242	22789	117884
243	22875	117753
244	22969	117657
245	23046	117480
246	23142	117400
247	23235	117302
248	23331	117222
249	23418	117092
250	23511	116993
251	23605	116905
252	23701	116818
253	23826	116883
254	23939	116883
255	24043	116834
256	24133	116725
257	24228	116635
258	24332	116589
259	24427	116501
260	24517	116388
261	24605	116266
262	24694	116146
263	24785	116039
264	24876	115931
265	24969	115837
266	25052	115693
267	25138	115563
268	25221	115419
269	25309	115297
270	25401	115198
271	25495	115106
272	25582	114982
273	25674	114881
274	25768	114787
275	25856	114667
276	25944	114551
277	26032	114430
278	26118	114302
279	26210	114202
280	26310	114137
281	26414	114087
282	26517	114033
283	26600	113896
284	26706	113856
285	26833	113901
286	26944	113878
287	27059	113876
288	27201	113984
289	27304	113925
290	27416	113905
291	27518	113842
292	27611	113744
293	27707	113657
294	27795	113539
295	27887	113436
296	27982	113345
297	28064	113201
298	28153	113084
299	28240	112961
300	28327	112838
301	28413	112711
302	28508	112622
303	28589	112475
304	28686	112396
305	28774	112277
306	28862	112158
307	28947	112030
308	29038	111925
309	29132	111832
310	29212	111685
311	29309	111599
312	29398	111490
313	29489	111385
314	29583	111290
315	29676	111193
316	29765	111080
317	29855	110970
318	29950	110882
319	30042	110781
320	30136	110688
321	30231	110598
322	30331	110528
323	30427	110442
324	30517	110332
325	30607	110223
326	30688	110084
327	30776	109971
328	30864	109855
329	30958	109763
330	31051	109665
331	31139	109551
332	31224	109425
333	31313	109317
334	31405	109217
335	31480	109058
336	31562	108922
337	31654	108822
338	31748	108731
339	31845	108649
340	31929	108521
341	32016	108406
342	32112	108321
343	32206	108228
344	32301	108141
345	32395	108046
346	32490	107957
347	32579	107849
348	32688	107805
349	32809	107801
350	32907	107722
351	33000	107625
352	33092	107528
353	33179	107412
354	33267	107298
355	33364	107215
356	33458	107122
357	33549	107020
358	33645	106933
359	33760	106907
360	33863	106843
361	33966	106778
362	34075	106731
363	34193	106713
364	34304	106674
365	34414	106629
366	34505	106525
367	34629	106521
368	34744	106494
369	34854	106446
370	34957	106380
371	35064	106324
372	35171	106267
373	35280	106220
374	35387	106162
375	35497	106114
376	35616	106094
377	35719	106023
378	35829	105975
379	35938	105924
380	36045	105864
381	36133	105752
382	36238	105687
383	36346	105631
384	36459	105591
385	36556	105502
386	36666	105452
387	36783	105421
388	36898	105383
389	37004	105320
390	37104	105239
391	37204	105160
392	37303	105076
393	37399	104984
394	37495	104892
395	37597	104818
396	37699	104742
397	37800	104663
398	37891	104556
399	37987	104465
400	38091	104395
401	38189	104308
402	38279	104199
403	38367	104086
404	38459	103983
405	38552	103881
406	38649	103793
407	38741	103689
408	38834	103590
409	38926	103486
410	39014	103373
411	39108	103277
412	39199	103170
413	39290	103065
414	39376	102949
415	39473	102859
416	39555	102730
417	39647	102629
418	39731	102504
419	39823	102403
420	39921	102317
421	40017	102224
422	40105	102112
423	40194	102003
424	40290	101911
425	40374	101790
426	40471	101699
